FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_LMP_SUBVER')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_LMP_VERSION')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_MANUFACTURER')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_POWER_LEVEL')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_TWS_PLUS_DEVICE1')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_TWS_PLUS_DEVICE2')
FieldSub(class_name='android.bluetooth.BluetoothGatt', name='SUBRATE_REQ_BALANCED')
FieldSub(class_name='android.bluetooth.BluetoothGatt', name='SUBRATE_REQ_HIGH')
FieldSub(class_name='android.bluetooth.BluetoothGatt', name='SUBRATE_REQ_LOW_POWER')
FieldSub(class_name='android.bluetooth.BluetoothHeadset', name='ACTION_HF_TWSP_BATTERY_STATE_CHANGED')
FieldSub(class_name='android.bluetooth.BluetoothHeadset', name='EXTRA_HF_TWSP_BATTERY_LEVEL')
FieldSub(class_name='android.bluetooth.BluetoothHeadset', name='EXTRA_HF_TWSP_BATTERY_STATE')
FieldSub(class_name='android.bluetooth.BluetoothHeadset', name='STATE_AUDIO_DISCONNECTING')
FieldSub(class_name='android.bluetooth.BluetoothHeadset', name='mServiceLock')
FieldSub(class_name='android.bluetooth.BluetoothLeAudioCodecConfig', name='FRAME_DURATION_15000')
FieldSub(class_name='android.bluetooth.BluetoothLeAudioCodecConfig', name='SAMPLE_RATE_96000')
